Physics Time (ms),Script Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
9.0,0,1827.175,185904.6,0
9.0,0,1827.175,185904.6,0.4848
9.0,0,1827.175,185904.6,0.7846286
9.0,0,1827.175,185904.7,1.9066
9.0,0,1827.175,185905.0,1.9158
9.8,0,1827.119,195954.0,3.886539
9.8,0,1827.119,195950.5,0.8961152
9.8,0,1827.119,195950.7,1.5226
9.8,0,1827.119,195951.0,2.2246
9.8,0,1827.119,195951.1,0
9.8,0,1827.119,195951.1,0.4848
9.8,0,1827.119,195951.6,0.9144
9.8,0,1827.119,195951.7,1.9066
9.8,0,1827.119,195951.7,1.9158
8.9,0,1826.286,206072.3,3.9442
8.9,0,1826.286,206067.5,1.5522
8.9,0,1826.286,206067.5,1.5226
8.9,0,1826.286,206067.5,2.2246
8.9,0,1826.286,206067.6,0
8.9,0,1826.286,206067.6,0.4848
8.9,0,1826.286,206067.6,0.9144
8.9,0,1826.286,206067.7,1.9066
8.9,0,1826.286,206067.7,1.9158
9.5,0,1826.533,216141.9,3.9442
9.5,0,1826.533,216138.0,1.5522
9.5,0,1826.533,216138.1,1.5226
9.5,0,1826.533,216138.1,2.2246
9.5,0,1826.533,216138.1,0
9.5,0,1826.533,216138.5,0.4848
9.5,0,1826.533,216139.1,0.9144
9.5,0,1826.533,216139.2,1.9066
9.5,0,1826.533,216139.3,1.9158
10.1,0,1826.75,241050.2,3.9442
10.1,0,1826.75,241046.5,1.5522
10.1,0,1826.75,241046.6,1.5226
10.1,0,1826.75,241046.7,2.2246
10.1,0,1826.75,241046.8,0
10.1,0,1826.75,241046.8,0.4848
10.1,0,1826.75,241046.9,0.9144
10.1,0,1826.75,241047.0,1.9066
10.1,0,1826.75,241047.3,1.9158
9.7,0,1826.661,251111.2,3.9442
9.7,0,1826.661,251105.5,1.686716
9.7,0,1826.661,251105.5,1.5226
9.7,0,1826.661,251105.5,2.2246
9.7,0,1826.661,251105.5,0
9.7,0,1826.661,251105.6,0.4848
9.7,0,1826.661,251105.6,0.9144
9.7,0,1826.661,251105.6,1.9066
9.7,0,1826.661,251105.6,2.183865
9.6,0,1827.323,261273.8,3.9442
9.6,0,1827.323,261269.4,2.1082
9.6,0,1827.323,261269.4,1.5226
9.6,0,1827.323,261269.4,2.2246
9.6,0,1827.323,261269.4,0.004516129
9.6,0,1827.323,261269.5,0.4848
9.6,0,1827.323,261269.5,0.9144
9.6,0,1827.323,261269.5,1.9066
9.6,0,1827.323,261269.5,2.7468
9.2,0,1826.295,271381.1,3.9442
9.2,0,1826.295,271384.8,2.1082
9.2,0,1826.295,271384.8,1.5226
9.2,0,1826.295,271384.9,2.2246
9.2,0,1826.295,271385.2,0.007
9.2,0,1826.295,271385.3,0.4848
9.2,0,1826.295,271385.3,0.9144
9.2,0,1826.295,271385.4,1.9066
9.2,0,1826.295,271385.4,2.7468
9.5,0,1826.667,281511.5,3.9442
9.5,0,1826.667,281507.7,2.1082
9.5,0,1826.667,281507.8,1.5226
9.5,0,1826.667,281507.8,2.2246
9.5,0,1826.667,281507.8,0.007
9.5,0,1826.667,281507.8,0.4848
9.5,0,1826.667,281507.9,0.9144
9.5,0,1826.667,281508.4,1.9066
9.5,0,1826.667,281508.5,3.031547
9.2,0,1826.594,291598.7,3.9442
9.2,0,1826.594,291594.1,2.1082
9.2,0,1826.594,291594.1,1.5226
9.2,0,1826.594,291594.2,2.2246
9.2,0,1826.594,291594.2,0.007
9.2,0,1826.594,291594.3,0.4848
9.2,0,1826.594,291594.3,0.9144
9.2,0,1826.594,291594.3,1.9066
9.2,0,1826.594,291594.3,3.1964
8.8,0,1826.323,301696.9,3.9442
8.8,0,1826.323,301692.3,2.1082
8.8,0,1826.323,301692.4,1.5226
8.8,0,1826.323,301692.4,2.2246
8.8,0,1826.323,301692.7,0.007
8.8,0,1826.323,301692.7,0.4848
8.9,0,1826.323,301692.7,0.9144
8.9,0,1826.323,301692.8,1.9066
8.9,0,1826.323,301692.8,3.1964
9.2,0,1826.5,311804.6,3.9442
9.2,0,1826.5,311801.3,2.1082
9.2,0,1826.5,311801.4,1.5226
9.2,0,1826.5,311801.4,2.2246
9.2,0,1826.5,311801.5,0.007
9.2,0,1826.5,311801.5,0.4848
9.2,0,1826.5,311801.8,0.9144
9.2,0,1826.5,311802.3,1.9066
9.2,0,1826.5,311802.3,3.1964
9.6,0,1826.617,344455.2,3.9442
9.6,0,1826.617,344451.8,2.1082
9.6,0,1826.617,344451.9,1.5226
9.6,0,1826.617,344452.0,2.2246
9.6,0,1826.617,344452.8,0.007
9.6,0,1826.617,344453.1,0.50842
9.6,0,1826.617,344453.6,0.9144
9.6,0,1826.617,344454.0,1.9066
9.6,0,1826.617,344454.3,3.1964
11.1,0,1827.4,354459.9,3.9442
11.1,0,1827.4,354456.3,2.1082
11.1,0,1827.4,354456.7,1.998272
11.1,0,1827.4,354458.7,2.2246
11.1,0,1827.4,354459.0,0.007
11.1,0,1827.4,354459.1,1.1934
11.1,0,1827.4,354459.2,0.9144
11.1,0,1827.4,354459.2,1.9066
11.1,0,1827.4,354459.3,3.1964
11.1,0,1826.345,364560.0,3.9442
11.1,0,1826.345,364555.3,2.1082
11.1,0,1826.345,364555.3,2.1654
11.1,0,1826.345,364555.3,2.2246
11.1,0,1826.345,364555.4,0.007
11.1,0,1826.345,364555.4,1.1934
11.1,0,1826.345,364555.4,0.9144
11.1,0,1826.345,364555.5,1.9066
11.1,0,1826.345,364555.6,3.1964
11.0,0,1826.276,374635.6,3.9442
11.0,0,1826.276,374630.3,2.1082
11.0,0,1826.276,374630.4,2.1654
11.0,0,1826.276,374630.5,2.2246
11.0,0,1826.276,374630.6,0.007
11.0,0,1826.276,374630.6,1.1934
11.0,0,1826.276,374630.6,0.9144
11.0,0,1826.276,374630.7,1.9066
11.0,0,1826.276,374630.8,3.203724
10.4,0,1820.821,384739.0,3.9442
10.4,0,1820.821,384734.8,2.1082
10.4,0,1820.821,384734.8,2.1654
10.4,0,1820.821,384734.8,2.2246
10.4,0,1820.821,384734.9,0.007
10.4,0,1820.821,384735.2,1.1934
10.4,0,1820.821,384735.3,0.9144
10.4,0,1820.821,384735.3,1.9066
10.4,0,1820.821,384735.3,3.6212
11.4,0,1818.784,394763.4,3.9442
11.4,0,1818.784,394758.4,2.1082
11.4,0,1818.784,394758.4,2.1654
11.4,0,1818.784,394758.5,2.2246
11.4,0,1818.784,394758.5,0.2373294
11.4,0,1818.784,394758.6,1.1934
11.4,0,1818.784,394758.6,0.9144
11.4,0,1818.784,394758.6,1.9066
11.4,0,1818.784,394758.7,3.6212
11.7,0,1818.741,404955.9,3.9442
11.7,0,1818.741,404954.8,2.1082
11.7,0,1818.741,404954.9,2.1654
11.7,0,1818.741,404955.0,2.2246
11.7,0,1818.741,404955.0,0.6596
11.7,0,1818.741,404955.0,1.1934
11.7,0,1818.741,404955.1,0.9144
11.7,0,1818.741,404955.1,1.9066
11.7,0,1818.741,404955.1,4.181755
9.3,0,1818.82,415055.2,3.9442
9.3,0,1818.82,415050.5,2.517092
9.3,0,1818.82,415050.7,2.1654
9.3,0,1818.82,415050.8,2.2246
9.3,0,1818.82,415050.8,0.6596
9.3,0,1818.82,415050.9,1.1934
9.3,0,1818.82,415051.0,0.9144
9.3,0,1818.82,415051.0,1.9066
9.3,0,1818.82,415051.1,4.2266
9.1,0,1819.097,425137.4,3.996216
9.1,0,1819.097,425132.6,2.8418
9.1,0,1819.097,425132.9,2.1654
9.1,0,1819.097,425133.2,2.2246
9.1,0,1819.097,425133.5,0.6596
9.1,0,1819.097,425134.2,1.1934
9.1,0,1819.097,425134.3,0.9144
9.1,0,1819.097,425134.4,1.9066
9.1,0,1819.097,425134.7,4.2266
9.3,0,1818.839,435326.2,4.244081
9.3,0,1818.839,435322.2,2.8418
9.3,0,1818.839,435322.2,2.1654
9.3,0,1818.839,435322.3,2.2246
9.3,0,1818.839,435323.0,0.6596
9.3,0,1818.839,435323.2,1.1934
9.3,0,1818.839,435323.4,0.9144
9.3,0,1818.839,435323.5,1.9066
9.3,0,1818.839,435323.6,4.2266
8.9,0,1819.556,458991.1,4.911
8.9,0,1819.556,458987.7,2.8418
8.9,0,1819.556,458987.8,2.1654
8.9,0,1819.556,458987.8,2.2246
8.9,0,1819.556,458987.9,0.6596
8.9,0,1819.556,458988.0,1.1934
8.9,0,1819.556,458988.1,0.9144
8.9,0,1819.556,458988.2,1.9066
8.9,0,1819.556,458988.9,4.2266
9.3,0,1818.283,469152.8,4.911
9.3,0,1818.283,469151.1,2.8418
9.3,0,1818.283,469151.1,2.1654
9.3,0,1818.283,469151.2,2.2246
9.3,0,1818.283,469151.2,0.6596
9.3,0,1818.283,469151.3,1.1934
9.3,0,1818.283,469151.3,0.9144
9.3,0,1818.283,469151.3,1.9066
9.3,0,1818.283,469151.3,4.2266
9.4,0,1819.633,479223.6,5.360387
9.4,0,1819.633,479219.1,2.8418
9.4,0,1819.633,479219.8,2.926343
9.4,0,1819.633,479220.1,2.2246
9.4,0,1819.633,479220.3,0.6596
9.4,0,1819.633,479220.5,1.1934
9.4,0,1819.633,479220.6,0.9144
9.4,0,1819.633,479220.8,1.9066
9.4,0,1819.633,479220.9,4.2266
10.3,0,1818.836,489346.8,5.584419
10.3,0,1818.836,489341.9,2.8418
10.3,0,1818.836,489342.0,3.8544
10.3,0,1818.836,489342.3,2.2246
10.3,0,1818.836,489342.3,0.6596
10.3,0,1818.836,489342.4,1.1934
10.3,0,1818.836,489343.0,1.16912
10.3,0,1818.836,489343.3,1.9066
10.3,0,1818.836,489343.4,4.326119
9.9,0,1819.397,499361.7,6.1906
9.9,0,1819.397,499362.3,2.8418
9.9,0,1819.397,499363.0,3.8544
9.9,0,1819.397,499363.1,2.2246
9.9,0,1819.397,499363.2,1.0382
9.9,0,1819.397,499363.3,1.1934
9.9,0,1819.397,499363.3,1.5512
9.9,0,1819.397,499363.4,1.9066
9.9,0,1819.397,499363.4,4.949575
9.5,0,1818.953,509494.3,6.1906
9.5,0,1818.953,509488.8,2.8418
9.5,0,1818.953,509488.8,4.055912
9.5,0,1818.953,509488.8,2.2246
9.5,0,1818.953,509488.9,1.0382
9.5,0,1818.953,509488.9,1.1934
9.5,0,1818.953,509488.9,1.5512
9.5,0,1818.953,509489.0,1.9066
9.5,0,1818.953,509489.1,5.3088
9.8,0,1818.904,519563.9,6.1906
9.8,0,1818.904,519570.2,2.8418
9.8,0,1818.904,519570.3,4.315
9.8,0,1818.904,519570.4,2.301723
9.8,0,1818.904,519570.5,1.0382
9.8,0,1818.904,519570.7,1.1934
9.8,0,1818.904,519570.8,1.5512
9.8,0,1818.904,519571.1,1.9066
9.8,0,1818.904,519571.2,5.3088
11.6,0,1818.327,529691.5,6.1906
11.6,0,1818.327,529687.4,2.8418
