,Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward,Learning Rate
mean,14.756272193916937,648.2468401479083,2177.076473753281,4563218.473861355,0.0,0.00010000000000000003
std,1.1156395780970967,292.67029939932115,4.466880755279948,2636028.384290347,0.0,4.025178248251348e-17
