Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
9.7,160.705657958984,1643.235,30009.3,0
9.7,160.705673217773,1643.235,30018.3,0
9.8,160.705688476563,1643.235,30018.4,0
9.8,160.705703735352,1643.235,30018.5,0
9.8,160.70573425293,1643.235,30018.6,0
9.8,160.705749511719,1643.235,30018.6,0
9.8,160.705764770508,1643.235,30018.7,0
9.8,160.705780029297,1643.235,30018.8,0
9.8,160.705810546875,1643.235,30018.9,0
10.1,163.739852905273,1655.228,60339.5,0
10.1,163.739883422852,1655.228,60335.9,0
10.1,163.739898681641,1655.228,60336.0,0.1594
10.1,163.73991394043,1655.228,60336.1,0
10.1,163.739929199219,1655.228,60336.2,0
10.1,163.739944458008,1655.228,60336.3,0
10.1,163.739974975586,1655.228,60336.4,0
10.1,163.739990234375,1655.228,60336.5,0
10.1,163.740020751953,1655.228,60336.6,0
9.4,159.663940429688,1656.212,90354.6,0
9.4,159.663955688477,1656.212,90351.8,0
9.4,159.663970947266,1656.212,90352.0,0
9.4,159.664001464844,1656.212,90352.1,0
9.4,159.664016723633,1656.212,90352.2,0.56
9.4,159.664031982422,1656.212,90352.3,0.5182
9.4,159.664047241211,1656.212,90352.4,0
9.4,159.6640625,1656.212,90352.5,0.9322
9.4,159.664108276367,1656.212,90352.6,0
9.5,537.4482421875,1624.679,120407.7,0
9.5,537.4482421875,1624.679,120404.9,0
9.5,537.4482421875,1624.679,120405.4,0
9.5,537.448303222656,1624.679,120405.5,0
9.5,537.448303222656,1624.679,120405.6,0
9.5,537.448303222656,1624.679,120405.7,0
9.5,537.448303222656,1624.679,120405.8,0
9.5,537.448364257813,1624.679,120406.0,0
9.5,537.448364257813,1624.679,120406.1,0
11.4,171.787506103516,1614.126,150694.8,0
11.4,171.787521362305,1614.126,150691.8,0
11.4,171.787536621094,1614.126,150692.2,0.1504
11.4,171.787551879883,1614.126,150692.3,0
11.4,171.787567138672,1614.126,150692.4,0
11.4,171.787582397461,1614.126,150692.5,0.6238
11.4,171.78759765625,1614.126,150692.6,0
11.4,171.787628173828,1614.126,150692.7,0
11.4,171.787658691406,1614.126,150692.8,0
9.6,166.324966430664,1614.258,180744.5,0
9.6,166.324981689453,1614.258,180740.5,0
9.6,166.325012207031,1614.258,180740.6,0
9.6,166.32502746582,1614.258,180740.7,0.0152
9.6,166.325042724609,1614.258,180740.8,0
9.6,166.325057983398,1614.258,180740.9,0
9.6,166.325073242188,1614.258,180741.0,0
9.6,166.325103759766,1614.258,180741.1,0.7174
9.6,166.325134277344,1614.258,180741.2,0
9.2,159.038955688477,1614.201,230033.9,0
9.2,159.038970947266,1614.201,230036.7,0
9.2,159.038986206055,1614.201,230036.9,0.9652
9.2,159.039001464844,1614.201,230037.1,0
9.2,159.039031982422,1614.201,230037.3,0.5188
9.2,159.039047241211,1614.201,230037.5,0.8312
9.2,159.0390625,1614.201,230037.7,0
9.2,159.039077758789,1614.201,230037.8,0
9.2,159.039108276367,1614.201,230038.0,0
10.2,283.179779052734,1614.085,260239.4,0.681
10.2,283.179809570313,1614.085,260237.2,0
10.2,283.179809570313,1614.085,260237.4,0
10.2,283.179840087891,1614.085,260237.5,0
10.2,283.179870605469,1614.085,260237.6,0
10.2,283.179870605469,1614.085,260238.0,0
10.2,283.179901123047,1614.085,260238.1,0
10.2,283.179931640625,1614.085,260238.3,0
10.2,283.179962158203,1614.085,260238.8,0
9.8,169.532699584961,1614.124,290326.3,0.2958
9.8,169.53271484375,1614.124,290323.0,0.9106
9.8,169.532730102539,1614.124,290323.3,0
9.8,169.532745361328,1614.124,290323.4,0.2726
9.8,169.532760620117,1614.124,290323.8,0
9.8,169.532791137695,1614.124,290323.9,0
9.8,169.532806396484,1614.124,290324.0,0
9.8,169.532821655273,1614.124,290324.1,0.5486
9.8,169.532852172852,1614.124,290324.3,0
9.4,166.011489868164,1614.307,335714.7,0
9.4,166.011505126953,1614.307,335714.4,0
9.4,166.011520385742,1614.307,335715.0,0.7324
9.4,166.01155090332,1614.307,335715.7,0
9.4,166.011566162109,1614.307,335716.0,0
9.4,166.011581420898,1614.307,335717.0,0
9.4,166.011596679688,1614.307,335717.5,0
9.4,166.011611938477,1614.307,335717.7,0
9.4,166.011657714844,1614.307,335718.1,0
14.3,287.935821533203,1614.149,365813.5,0
14.3,287.935821533203,1614.149,365810.4,0
14.3,287.935852050781,1614.149,365810.5,0
14.3,287.935852050781,1614.149,365810.6,0
14.3,287.935882568359,1614.149,365810.7,0
14.3,287.935913085938,1614.149,365810.8,0
14.3,287.935913085938,1614.149,365811.0,0.1706
14.3,287.935943603516,1614.149,365811.1,0
