,Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward,Learning Rate
mean,15.126152213462705,649.487127526158,2176.0843956185568,4526659.53706792,0.0,0.00010000000000000003
std,1.4189328879839007,288.6272998024307,5.015461201068969,2611088.3366786363,0.0,4.332825043417764e-17
