,Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward,Learning Rate
mean,14.065451532725769,634.6296774423241,2150.355866837388,4608592.654684793,0.0,0.0010000000000000005
std,0.8725877916593302,288.74881036083724,4.338989429070517,2668682.258911019,0.0,3.5670923148701486e-16
