Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
9.8,157.763381958008,1451.492,30079.8,0
9.8,157.763397216797,1451.492,30077.3,0.9606
9.8,157.763412475586,1451.492,30077.4,0
9.8,157.763427734375,1451.492,30077.4,0
9.8,157.763442993164,1451.492,30077.5,0
9.8,157.763458251953,1451.492,30077.6,0
9.8,157.763473510742,1451.492,30077.7,0
9.8,157.76350402832,1451.492,30077.8,0.4718
9.8,157.763534545898,1451.492,30077.9,0.4306
10.5,163.823028564453,1460.12,60092.9,0
10.5,163.823043823242,1460.12,60088.9,0.963
10.5,163.823059082031,1460.12,60089.0,0
10.5,163.82307434082,1460.12,60089.1,0
10.5,163.823089599609,1460.12,60089.1,0.0462
10.5,163.823120117188,1460.12,60089.2,0
10.5,163.823135375977,1460.12,60089.3,0
10.5,163.823150634766,1460.12,60089.4,0.5974
10.5,163.823181152344,1460.12,60089.5,0
9.9,164.318832397461,1461.563,90131.0,0
9.9,164.31884765625,1461.563,90127.5,0
9.9,164.318862915039,1461.563,90127.6,0.7912
9.9,164.318893432617,1461.563,90127.8,0
9.9,164.318908691406,1461.563,90127.8,0
9.9,164.318923950195,1461.563,90127.9,0
9.9,164.318939208984,1461.563,90128.0,0.9776
9.9,164.318954467773,1461.563,90128.1,0
9.9,164.319000244141,1461.563,90128.2,0.9928
9.6,437.220794677734,1476.13,120294.3,0
9.6,437.220825195313,1476.13,120290.7,0.6935
9.6,437.220855712891,1476.13,120291.1,0
9.6,437.220855712891,1476.13,120291.2,0.9714
9.6,437.220886230469,1476.13,120291.4,0
9.6,437.220886230469,1476.13,120291.5,0.9402
9.6,437.220916748047,1476.13,120291.6,0
9.6,437.220947265625,1476.13,120291.7,0
9.6,437.220977783203,1476.13,120291.8,0
9.2,153.818466186523,1488.097,150296.3,0
9.2,153.818496704102,1488.097,150291.8,0.897
9.2,153.818511962891,1488.097,150291.8,0
9.2,153.81852722168,1488.097,150291.9,0
9.2,153.818542480469,1488.097,150292.0,0
9.2,153.818557739258,1488.097,150292.1,0
9.2,153.818588256836,1488.097,150292.2,0
9.2,153.818603515625,1488.097,150292.3,0
9.2,153.818634033203,1488.097,150292.4,0.1066
9.5,160.840484619141,1488.219,180332.2,0.6369333
9.5,160.84049987793,1488.219,180327.9,0.7498
9.5,160.840515136719,1488.219,180328.1,0.8168
9.5,160.840545654297,1488.219,180328.1,0.426
9.5,160.840560913086,1488.219,180328.3,0
9.5,160.840576171875,1488.219,180328.3,0
9.5,160.840591430664,1488.219,180328.4,0
9.5,160.840606689453,1488.219,180328.5,0
9.5,160.84065246582,1488.219,180328.6,0.121
9.2,154.503433227539,1488.4,219189.8,0
9.2,154.503448486328,1488.4,219186.9,0.8388
9.2,154.503463745117,1488.4,219187.1,0
9.2,154.503479003906,1488.4,219187.2,0
9.2,154.503494262695,1488.4,219187.3,0
9.2,154.503524780273,1488.4,219187.4,0
9.2,154.503540039063,1488.4,219187.6,0
9.2,154.503555297852,1488.4,219187.7,0.1206
9.2,154.50358581543,1488.4,219187.8,0
9.2,263.995056152344,1488.225,249334.5,0.8574
9.2,263.995086669922,1488.225,249330.6,0
9.2,263.995086669922,1488.225,249330.7,0.733
9.2,263.9951171875,1488.225,249330.9,0
9.2,263.9951171875,1488.225,249331.0,0
9.2,263.995147705078,1488.225,249331.0,0
9.2,263.995178222656,1488.225,249331.1,0
9.2,263.995178222656,1488.225,249331.2,0
9.2,263.995208740234,1488.225,249331.3,0
9.4,158.684616088867,1488.253,279464.3,0
9.4,158.684631347656,1488.253,279459.6,0
9.4,158.684661865234,1488.253,279459.7,0
9.4,158.684677124023,1488.253,279459.7,0.7957
9.4,158.684692382813,1488.253,279459.8,0.8464
9.4,158.684707641602,1488.253,279459.9,0
9.4,158.684722900391,1488.253,279460.0,0
9.4,158.684753417969,1488.253,279460.1,0
9.4,158.684783935547,1488.253,279460.2,0.7967
9.5,161.178314208984,1488.174,316080.1,0
9.5,161.178329467773,1488.174,316077.2,0
9.5,161.178344726563,1488.174,316077.4,0
9.5,161.178375244141,1488.174,316077.5,0
9.5,161.17839050293,1488.174,316077.7,0
9.5,161.178405761719,1488.174,316077.8,0
9.5,161.178421020508,1488.174,316078.0,0
9.5,161.178436279297,1488.174,316078.1,0.6262
9.5,161.178482055664,1488.174,316078.3,0
9.3,251.839431762695,1488.099,346087.6,0
9.3,251.839447021484,1488.099,346082.3,0
9.3,251.839462280273,1488.099,346082.6,0
9.3,251.839477539063,1488.099,346082.8,0
9.4,251.839492797852,1488.099,346082.8,0
9.4,251.83952331543,1488.099,346082.9,0
9.4,251.839538574219,1488.099,346083.2,0
9.4,251.839553833008,1488.099,346083.3,0.7362
9.4,251.839584350586,1488.099,346083.4,0
9.2,158.996444702148,1488.138,376135.8,0
9.2,158.996459960938,1488.138,376130.8,0
9.2,158.996475219727,1488.138,376130.9,0
9.2,158.996490478516,1488.138,376131.0,0
9.2,158.996520996094,1488.138,376131.1,0.5906
9.2,158.996536254883,1488.138,376131.2,0
9.2,158.996551513672,1488.138,376131.3,0
9.2,158.996566772461,1488.138,376131.4,0.4904
9.2,158.996597290039,1488.138,376131.5,0
9.4,158.720336914063,1488.188,414678.1,0
9.4,158.720352172852,1488.188,414673.7,0.419
9.4,158.720367431641,1488.188,414673.8,0
9.4,158.72038269043,1488.188,414674.0,0.7564
9.4,158.720397949219,1488.188,414674.1,0
9.4,158.720413208008,1488.188,414674.2,0
9.4,158.720428466797,1488.188,414674.3,0
9.4,158.720458984375,1488.188,414674.4,0
9.4,158.720489501953,1488.188,414674.4,0
9.4,252.692199707031,1488.205,444778.2,0
9.4,252.69221496582,1488.205,444773.9,0
9.4,252.692230224609,1488.205,444774.1,0
9.4,252.692245483398,1488.205,444774.2,0
9.4,252.692260742188,1488.205,444774.3,0
9.4,252.692276000977,1488.205,444774.3,0
9.4,252.692306518555,1488.205,444774.4,0.4366
9.4,252.692321777344,1488.205,444774.6,0
9.4,252.692352294922,1488.205,444774.7,0.449
9.3,162.291259765625,1488.235,474816.3,0
9.3,162.291275024414,1488.235,474811.4,0.5158
9.3,162.291290283203,1488.235,474811.5,0
9.3,162.291305541992,1488.235,474811.6,0
9.3,162.291320800781,1488.235,474811.6,0
9.3,162.29133605957,1488.235,474811.7,0
9.3,162.291351318359,1488.235,474811.8,0.7858
9.3,162.291381835938,1488.235,474811.9,0
9.3,162.291412353516,1488.235,474812.0,0
9.5,156.200210571289,1488.12,522447.2,0
9.5,156.200225830078,1488.12,522443.9,0.3554
9.5,156.200241088867,1488.12,522444.1,0
9.5,156.200271606445,1488.12,522444.2,0
9.5,156.200286865234,1488.12,522444.4,0.7577
9.5,156.200302124023,1488.12,522444.5,0
9.5,156.200317382813,1488.12,522444.8,0
9.5,156.200332641602,1488.12,522444.9,0.4848
9.5,156.20036315918,1488.12,522445.1,0
9.2,262.599304199219,1488.102,552552.3,0
9.2,262.599334716797,1488.102,552547.6,0
9.2,262.599334716797,1488.102,552547.8,0
9.2,262.599365234375,1488.102,552547.9,0
9.2,262.599365234375,1488.102,552547.9,0
9.2,262.599395751953,1488.102,552548.0,0.6986
9.2,262.599426269531,1488.102,552548.1,0.4342
9.2,262.599426269531,1488.102,552548.3,0
9.2,262.599487304688,1488.102,552548.4,0
9.4,160.221725463867,1488.128,582630.6,0
9.4,160.221740722656,1488.128,582626.3,0
9.4,160.221755981445,1488.128,582626.4,0.2488
9.4,160.221786499023,1488.128,582626.5,0.8776
9.4,160.221801757813,1488.128,582626.6,0
9.4,160.221817016602,1488.128,582626.7,0
9.4,160.221832275391,1488.128,582626.8,0
9.4,160.22184753418,1488.128,582626.8,0.7297
9.4,160.221878051758,1488.128,582626.9,0
9.4,156.396514892578,1488.213,615262.1,0
9.4,156.396530151367,1488.213,615257.6,0.811
9.4,156.396545410156,1488.213,615257.8,0
9.4,156.396560668945,1488.213,615257.8,0.2788
9.5,156.396591186523,1488.213,615257.9,0
9.5,156.396606445313,1488.213,615258.0,0
9.5,156.396621704102,1488.213,615258.2,0
9.5,156.396636962891,1488.213,615258.4,0
