Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
9.1,160.358459472656,1546.603,30052.5,0
9.1,160.358474731445,1546.603,30051.5,0
9.1,160.358489990234,1546.603,30051.6,0
9.2,160.358520507813,1546.603,30051.7,0
9.2,160.358535766602,1546.603,30051.9,0.7004
9.2,160.358551025391,1546.603,30052.0,0.4966
9.2,160.35856628418,1546.603,30052.1,0
9.2,160.358581542969,1546.603,30052.2,0
9.2,160.358627319336,1546.603,30052.3,0
12.0,182.420669555664,1556.121,60134.9,0
12.0,182.420684814453,1556.121,60132.9,0
12.0,182.420700073242,1556.121,60133.4,0.1804
12.0,182.420715332031,1556.121,60133.8,0
12.0,182.42073059082,1556.121,60134.1,0
12.0,182.420761108398,1556.121,60134.4,0
12.0,182.420776367188,1556.121,60134.9,0.5748
12.0,182.420791625977,1556.121,60135.2,0
12.0,182.420822143555,1556.121,60135.3,0
10.6,177.919982910156,1556.154,90332.1,0
10.6,177.919998168945,1556.154,90328.2,0
10.6,177.920028686523,1556.154,90328.3,0
10.6,177.920043945313,1556.154,90328.5,0.427
10.6,177.920059204102,1556.154,90328.6,0
10.6,177.920074462891,1556.154,90328.7,0
10.6,177.92008972168,1556.154,90328.8,0
10.6,177.920120239258,1556.154,90329.0,0
10.6,177.920150756836,1556.154,90329.1,0
13.9,194.405014038086,1556.321,132413.1,0
13.9,194.405044555664,1556.321,132414.7,0
13.9,194.405059814453,1556.321,132414.8,0
13.9,194.405075073242,1556.321,132415.0,0
13.9,194.405090332031,1556.321,132415.2,0.3782
13.9,194.40510559082,1556.321,132415.4,0.6566
13.9,194.405136108398,1556.321,132415.6,0
13.9,194.405151367188,1556.321,132416.1,0
13.9,194.405181884766,1556.321,132416.2,0.2276
9.8,275.387817382813,1556.189,162586.3,0
9.8,275.387817382813,1556.189,162582.0,0.1518
9.8,275.387847900391,1556.189,162582.0,0.9754
9.8,275.387878417969,1556.189,162582.1,0
9.8,275.387878417969,1556.189,162582.2,0
9.8,275.387908935547,1556.189,162582.3,0
9.8,275.387908935547,1556.189,162582.4,0
9.8,275.387939453125,1556.189,162582.5,0
9.8,275.387969970703,1556.189,162582.6,0
9.4,165.088607788086,1556.141,192719.8,0
9.4,165.088623046875,1556.141,192715.2,0
9.4,165.088653564453,1556.141,192715.4,0
9.4,165.088668823242,1556.141,192715.5,0
9.4,165.088684082031,1556.141,192715.7,0.8396
9.4,165.08869934082,1556.141,192715.8,0
9.4,165.088714599609,1556.141,192715.9,0
9.4,165.088729858398,1556.141,192716.0,0
9.4,165.088775634766,1556.141,192716.2,0.7576
10.2,163.934417724609,1555.389,235136.2,0.506
10.2,163.934432983398,1555.389,235134.5,0
10.2,163.934463500977,1555.389,235134.8,0
10.2,163.934478759766,1555.389,235134.9,0
10.2,163.934494018555,1555.389,235135.2,0
10.2,163.934509277344,1555.389,235135.4,0
10.2,163.934539794922,1555.389,235135.5,0
10.2,163.934555053711,1555.389,235135.7,0.089
10.2,163.934585571289,1555.389,235135.9,0.888
9.7,265.295928955078,1541.738,265165.3,0
9.7,265.295959472656,1541.738,265160.6,0
9.7,265.295959472656,1541.738,265160.7,0
9.7,265.295989990234,1541.738,265160.8,0
9.7,265.296020507813,1541.738,265160.8,0
9.7,265.296020507813,1541.738,265160.9,0
9.7,265.296051025391,1541.738,265161.1,0
9.7,265.296051025391,1541.738,265161.2,0
9.7,265.296112060547,1541.738,265161.3,0
9.9,162.823928833008,1540.903,295243.8,0
9.9,162.823944091797,1540.903,295239.1,0
9.9,162.823959350586,1540.903,295239.2,0
9.9,162.823989868164,1540.903,295239.3,0
9.9,162.824005126953,1540.903,295239.4,0.3556
