,Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward,Learning Rate
mean,13.934326813249571,641.2536839507502,2145.8200351941746,4868101.471509137,0.0,0.0010000000000000005
std,0.5403021313448066,291.8180510455741,5.915440039472049,2804588.1213189648,0.0,4.018124963124829e-16
