Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
9.6,157.083602905273,1447.636,30129.0,0
9.6,157.083633422852,1447.636,30130.9,0
9.6,157.083648681641,1447.636,30131.1,0.751
9.6,157.08366394043,1447.636,30131.2,0.7524
9.6,157.083679199219,1447.636,30131.3,0.7762
9.6,157.083694458008,1447.636,30131.4,0.5534
9.6,157.083724975586,1447.636,30131.5,0
9.6,157.083740234375,1447.636,30131.6,0.959
9.6,157.083770751953,1447.636,30131.7,0
11.4,179.148788452148,1468.107,60241.3,0
11.4,179.148803710938,1468.107,60238.3,0
11.4,179.148834228516,1468.107,60238.6,0
11.4,179.148849487305,1468.107,60238.8,0
11.4,179.148864746094,1468.107,60239.4,0
11.4,179.148880004883,1468.107,60239.9,0.6398
11.4,179.148895263672,1468.107,60240.2,0
11.4,179.148910522461,1468.107,60240.4,0
11.4,179.148956298828,1468.107,60240.5,0
11.6,178.664031982422,1468.107,90251.7,0
11.6,178.6640625,1468.107,90247.4,0
11.6,178.664077758789,1468.107,90247.5,0
11.6,178.664093017578,1468.107,90247.7,0
11.6,178.664108276367,1468.107,90247.9,0.1432
11.6,178.664138793945,1468.107,90248.0,0.9231
11.6,178.664154052734,1468.107,90248.1,0
11.6,178.664169311523,1468.107,90248.2,0
11.6,178.664199829102,1468.107,90248.3,0
9.7,167.907089233398,1468.146,129881.3,0
9.7,167.907104492188,1468.146,129877.6,0
9.7,167.907119750977,1468.146,129878.0,0
9.7,167.907150268555,1468.146,129878.2,0.1018
9.7,167.907165527344,1468.146,129878.4,0
9.7,167.907180786133,1468.146,129878.5,0
9.7,167.907196044922,1468.146,129878.7,0
9.7,167.907211303711,1468.146,129878.8,0
9.7,167.907257080078,1468.146,129879.0,0
9.2,281.457702636719,1468.093,159951.4,0
9.2,281.457733154297,1468.093,159945.6,0
9.2,281.457763671875,1468.093,159945.7,0
9.2,281.457794189453,1468.093,159945.8,0
9.2,281.457794189453,1468.093,159945.8,0
9.2,281.457824707031,1468.093,159946.0,0.3924
9.2,281.457824707031,1468.093,159946.1,0
9.2,281.457855224609,1468.093,159946.4,0
9.2,281.457885742188,1468.093,159946.7,0
9.7,168.118576049805,1468.112,190067.2,0
9.7,168.118591308594,1468.112,190062.2,0
9.7,168.118621826172,1468.112,190062.3,0
9.7,168.118637084961,1468.112,190062.4,0
9.7,168.11865234375,1468.112,190062.5,0
9.7,168.118667602539,1468.112,190062.6,0
9.7,168.118682861328,1468.112,190062.7,0
9.7,168.118698120117,1468.112,190062.8,0.746
9.7,168.118743896484,1468.112,190062.9,0
9.3,160.014373779297,1468.214,225938.2,0
9.3,160.014389038086,1468.214,225934.5,0.8603
9.3,160.014404296875,1468.214,225934.6,0
9.3,160.014434814453,1468.214,225934.8,0.7968
9.3,160.014450073242,1468.214,225935.0,0
9.3,160.014465332031,1468.214,225935.2,0
9.3,160.01448059082,1468.214,225935.4,0
9.3,160.014495849609,1468.214,225935.9,0
9.3,160.014526367188,1468.214,225936.1,0
9.0,251.854019165039,1468.099,256055.7,0.296
9.0,251.854034423828,1468.099,256050.5,0
9.0,251.854049682617,1468.099,256050.6,0
9.0,251.854080200195,1468.099,256050.7,0.8676
9.0,251.854095458984,1468.099,256050.7,0
9.0,251.854110717773,1468.099,256050.8,0
9.0,251.854125976563,1468.099,256050.9,0
9.0,251.854141235352,1468.099,256051.0,0
9.0,251.85417175293,1468.099,256051.1,0.4888
9.4,159.441146850586,1468.106,286082.4,0
9.4,159.441162109375,1468.106,286077.3,0
9.4,159.441177368164,1468.106,286077.3,0
9.4,159.441192626953,1468.106,286077.4,0
9.4,159.441223144531,1468.106,286077.5,0
9.4,159.44123840332,1468.106,286077.6,0
9.4,159.441253662109,1468.106,286077.7,0
9.4,159.441268920898,1468.106,286077.8,0.2232
9.4,159.441299438477,1468.106,286077.9,0
9.9,164.659317016602,1468.341,324969.3,0
9.9,164.659332275391,1468.341,324965.8,0.4852
9.9,164.65934753418,1468.341,324966.0,0
9.9,164.659378051758,1468.341,324966.2,0
9.9,164.659393310547,1468.341,324966.3,0.058
9.9,164.659408569336,1468.341,324966.5,0.8742
9.9,164.659423828125,1468.341,324966.7,0.7964
9.9,164.659454345703,1468.341,324966.8,0
9.9,164.659484863281,1468.341,324966.9,0
10.1,266.545104980469,1468.093,355104.6,0.811
10.1,266.545104980469,1468.093,355099.9,0
10.1,266.545135498047,1468.093,355100.0,0
10.1,266.545135498047,1468.093,355100.1,0.2278
10.1,266.545166015625,1468.093,355100.3,0.9636
10.1,266.545196533203,1468.093,355100.4,0
10.1,266.545196533203,1468.093,355100.5,0.9026
10.1,266.545227050781,1468.093,355100.7,0
10.1,266.545257568359,1468.093,355100.8,0.6784
11.4,170.805603027344,1468.267,385160.8,0
11.4,170.805618286133,1468.267,385155.8,0
11.4,170.805648803711,1468.267,385155.9,0
11.4,170.8056640625,1468.267,385156.1,0.8992
11.4,170.805679321289,1468.267,385156.2,0
11.4,170.805694580078,1468.267,385156.3,0.412
11.4,170.805709838867,1468.267,385156.4,0
11.4,170.805725097656,1468.267,385156.5,0
11.4,170.805755615234,1468.267,385156.6,0
9.2,156.615692138672,1468.125,415193.0,0
9.2,156.615707397461,1468.125,415187.8,0
9.2,156.61572265625,1468.125,415187.9,0
9.2,156.615737915039,1468.125,415188.0,0
9.2,156.615753173828,1468.125,415188.1,0.4006
9.2,156.615783691406,1468.125,415188.2,0
9.2,156.615798950195,1468.125,415188.3,0.7763
9.2,156.615814208984,1468.125,415188.5,0.7684
9.2,156.615844726563,1468.125,415188.6,0
9.0,442.478637695313,1468.25,445310.4,0
9.0,442.478668212891,1468.25,445305.6,0.1516
9.0,442.478668212891,1468.25,445305.8,0
9.0,442.478698730469,1468.25,445305.8,0
9.0,442.478729248047,1468.25,445305.9,0
9.0,442.478729248047,1468.25,445306.0,0
9.0,442.478759765625,1468.25,445306.1,0.636
9.0,442.478759765625,1468.25,445306.2,0
9.0,442.478790283203,1468.25,445306.3,0
9.1,163.444610595703,1469.562,475466.6,0
9.1,163.444641113281,1469.562,475461.7,0
9.1,163.44465637207,1469.562,475461.8,0.4725
9.1,163.444671630859,1469.562,475461.9,0
9.1,163.444686889648,1469.562,475462.1,0.3536
9.1,163.444702148438,1469.562,475462.2,0
9.1,163.444717407227,1469.562,475462.2,0.8318
9.1,163.444747924805,1469.562,475462.3,0
9.1,163.444778442383,1469.562,475462.4,0
10.4,170.722839355469,1470.199,505480.0,0.2918
10.4,170.722854614258,1470.199,505480.4,0
10.4,170.722885131836,1470.199,505480.5,0
10.4,170.722900390625,1470.199,505480.6,0
10.4,170.722915649414,1470.199,505480.7,0.5143
10.4,170.722930908203,1470.199,505480.8,0
10.4,170.722946166992,1470.199,505481.0,0.5121
10.4,170.72297668457,1470.199,505481.1,0
10.4,170.723007202148,1470.199,505481.2,0
9.7,406.656799316406,1470.176,535572.1,0
9.7,406.656829833984,1470.176,535568.1,0
9.7,406.656829833984,1470.176,535568.2,0
9.7,406.656860351563,1470.176,535568.3,0.9729
9.7,406.656860351563,1470.176,535568.4,0
9.7,406.656890869141,1470.176,535568.5,0
9.7,406.656921386719,1470.176,535568.6,0.9288
9.7,406.656921386719,1470.176,535568.8,0.8301
9.7,406.656951904297,1470.176,535568.9,0
9.2,156.424194335938,1470.104,565603.3,0
9.2,156.424224853516,1470.104,565597.4,0.724
9.2,156.424240112305,1470.104,565597.4,0
9.2,156.424255371094,1470.104,565597.6,0
9.2,156.424270629883,1470.104,565597.7,0
9.2,156.424285888672,1470.104,565597.8,0
9.2,156.42431640625,1470.104,565597.9,0.6938
9.2,156.424331665039,1470.104,565598.0,0
9.2,156.424362182617,1470.104,565598.1,0
11.5,172.892669677734,1470.103,595686.1,0
11.5,172.892684936523,1470.103,595681.7,0.3182
11.5,172.892700195313,1470.103,595681.8,0
11.5,172.892715454102,1470.103,595681.9,0
11.5,172.89274597168,1470.103,595682.1,0
11.5,172.892761230469,1470.103,595682.2,0.9668
11.5,172.892776489258,1470.103,595682.3,0.8576
11.5,172.892791748047,1470.103,595682.4,0.9128
11.5,172.892837524414,1470.103,595682.5,0
9.6,162.014556884766,1470.11,639483.9,0
9.6,162.014587402344,1470.11,639480.0,0
9.6,162.014602661133,1470.11,639480.2,0
9.6,162.014617919922,1470.11,639480.3,0
9.6,162.014633178711,1470.11,639480.5,0.6972
9.6,162.0146484375,1470.11,639480.7,0.6914001
9.6,162.014678955078,1470.11,639480.9,0
9.6,162.014694213867,1470.11,639481.1,0
9.6,162.014724731445,1470.11,639481.3,0
9.3,266.548858642578,1470.101,669557.3,0
9.3,266.548858642578,1470.101,669551.6,0
9.3,266.548889160156,1470.101,669551.8,0
9.3,266.548889160156,1470.101,669551.9,0.1774
9.3,266.548919677734,1470.101,669552.0,0.6257
9.3,266.548919677734,1470.101,669552.1,0
9.3,266.548950195313,1470.101,669552.2,0
9.3,266.548980712891,1470.101,669552.3,0
9.3,266.549011230469,1470.101,669552.4,0
9.8,160.341842651367,1470.139,699581.7,0
9.8,160.341873168945,1470.139,699576.4,0.9492
9.8,160.341888427734,1470.139,699576.5,0
9.8,160.341903686523,1470.139,699576.7,0.9816
9.8,160.341918945313,1470.139,699576.8,0
9.8,160.341934204102,1470.139,699576.9,0
9.8,160.34196472168,1470.139,699576.9,0
9.8,160.341979980469,1470.139,699577.1,0
9.8,160.342010498047,1470.139,699577.1,0.9458
9.8,160.895965576172,1458.888,729634.0,0.7398
9.8,160.895980834961,1458.888,729632.1,0
9.8,160.896011352539,1458.888,729632.2,0
9.8,160.896026611328,1458.888,729632.3,0
9.8,160.896041870117,1458.888,729632.4,0.7485
9.8,160.896057128906,1458.888,729632.6,0.469
9.8,160.896072387695,1458.888,729632.7,0
9.8,160.896087646484,1458.888,729632.8,0
9.8,160.896133422852,1458.888,729632.9,0
11.5,518.041809082031,1458.259,759683.3,0
11.5,518.041809082031,1458.259,759678.8,0
11.5,518.041809082031,1458.259,759679.0,0.1864
11.5,518.041870117188,1458.259,759679.4,0
11.5,518.041870117188,1458.259,759679.7,0
