,Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward,Learning Rate
mean,14.169861161856048,649.6222731557173,2142.6363763975155,4734494.948505663,0.0,0.00010000000000000003
std,1.3614691240573475,306.25805651491754,5.039435594384548,2744502.982352887,0.0,4.9372758388078417e-17
