Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
9.6,154.193298339844,1506.946,30141.1,0
9.6,154.193313598633,1506.946,30139.9,0
9.6,154.193328857422,1506.946,30140.0,0.8658
9.6,154.193344116211,1506.946,30142.3,0
9.6,154.193359375,1506.946,30142.5,0.8784
9.6,154.193389892578,1506.946,30142.6,0.9588
9.6,154.193405151367,1506.946,30142.8,0
9.6,154.193420410156,1506.946,30142.8,0
9.6,154.193450927734,1506.946,30142.9,0
14.3,173.208953857422,1500.109,60238.5,0
14.3,173.208969116211,1500.109,60234.7,0
14.3,173.208984375,1500.109,60234.9,0
14.3,173.209014892578,1500.109,60235.0,0
14.3,173.209030151367,1500.109,60235.1,0
14.3,173.209045410156,1500.109,60235.2,0
14.3,173.209060668945,1500.109,60235.3,0
14.3,173.209091186523,1500.109,60235.4,0.1308
14.3,173.209121704102,1500.109,60235.5,0
10.6,175.717666625977,1503.503,90290.0,0
10.6,175.717697143555,1503.503,90286.5,0
10.6,175.717712402344,1503.503,90286.6,0
10.6,175.717727661133,1503.503,90286.7,0
10.6,175.717742919922,1503.503,90286.9,0
10.6,175.717758178711,1503.503,90287.0,0
10.6,175.717788696289,1503.503,90287.1,0
10.6,175.717803955078,1503.503,90287.2,0
10.6,175.717834472656,1503.503,90287.3,0
10.7,424.29296875,1504.155,120376.6,0
10.7,424.29296875,1504.155,120373.3,0
10.7,424.292999267578,1504.155,120373.5,0
10.7,424.292999267578,1504.155,120373.6,0
10.7,424.293029785156,1504.155,120373.7,0
10.7,424.293060302734,1504.155,120373.8,0
10.7,424.293060302734,1504.155,120373.9,0
10.7,424.293090820313,1504.155,120374.1,0
10.7,424.293121337891,1504.155,120374.2,0
11.1,186.559844970703,1505.062,150406.3,0
11.1,186.559860229492,1505.062,150402.0,0.4434
11.1,186.559875488281,1505.062,150402.2,0.8756
11.1,186.55989074707,1505.062,150402.3,0
11.1,186.559906005859,1505.062,150402.4,0
11.1,186.559921264648,1505.062,150402.6,0
11.1,186.559951782227,1505.062,150402.7,0
11.1,186.559967041016,1505.062,150403.0,0
11.1,186.559997558594,1505.062,150403.1,0
9.3,167.506469726563,1505.078,180442.9,0
