,Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward,Learning Rate
mean,14.228967467136668,651.777922802948,2123.8689563046196,4722581.770867297,0.0,0.0010000000000000005
std,1.874105204575765,325.7417320294829,9.822927911230128,2741465.8973257816,0.0,3.7817666092466343e-16
