Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
10.5,164.047271728516,1498.69,30192.4,0
10.5,164.047286987305,1498.69,30196.2,0
10.5,164.047302246094,1498.69,30196.3,0
10.6,164.047332763672,1498.69,30196.4,0
10.6,164.047348022461,1498.69,30196.7,0
10.6,164.04736328125,1498.69,30196.9,0
10.6,164.047378540039,1498.69,30197.0,0.6935
10.6,164.047393798828,1498.69,30197.1,0.7935
10.6,164.047424316406,1498.69,30197.2,0.409
10.5,167.82194519043,1507.711,60331.7,0
10.5,167.821960449219,1507.711,60330.9,0
10.5,167.821975708008,1507.711,60331.0,0.648
10.5,167.821990966797,1507.711,60331.1,0.8508
10.5,167.822006225586,1507.711,60331.2,0
10.5,167.822036743164,1507.711,60331.3,0
10.5,167.822052001953,1507.711,60331.4,0.9756
10.5,167.822067260742,1507.711,60331.5,0
10.5,167.82209777832,1507.711,60331.6,0.3914
10.1,160.313095092773,1508.085,90410.9,0
10.1,160.313110351563,1508.085,90410.1,0
10.1,160.313125610352,1508.085,90410.2,0
10.1,160.31315612793,1508.085,90410.3,0
10.1,160.313171386719,1508.085,90410.4,0
10.1,160.313186645508,1508.085,90410.5,0
10.1,160.313201904297,1508.085,90410.6,0.4428
10.1,160.313217163086,1508.085,90410.7,0
10.1,160.313247680664,1508.085,90410.8,0.7145
10.4,167.27751159668,1508.457,123009.1,0
10.4,167.277526855469,1508.457,123006.9,0.9254
10.4,167.277542114258,1508.457,123007.2,0
10.4,167.277557373047,1508.457,123007.3,0
10.4,167.277587890625,1508.457,123007.5,0
10.4,167.277603149414,1508.457,123007.7,0
10.4,167.277618408203,1508.457,123007.8,0
10.4,167.277633666992,1508.457,123008.0,0
10.4,167.27766418457,1508.457,123008.1,0
10.6,294.621978759766,1506.26,153329.4,0
10.6,294.622009277344,1506.26,153325.5,0.943
10.6,294.622039794922,1506.26,153325.7,0
10.6,294.622039794922,1506.26,153325.8,0
10.6,294.6220703125,1506.26,153325.9,0
10.6,294.622100830078,1506.26,153326.0,0
10.6,294.622100830078,1506.26,153326.1,0
10.6,294.622131347656,1506.26,153326.2,0.751
10.6,294.622161865234,1506.26,153326.3,0
10.1,167.397079467773,1506.138,183438.4,0.8605
10.1,167.397094726563,1506.138,183436.8,0
10.1,167.397109985352,1506.138,183436.9,0
10.1,167.397125244141,1506.138,183437.0,0.69895
10.1,167.397155761719,1506.138,183437.1,0.2724
10.1,167.397171020508,1506.138,183437.2,0.9804
10.2,167.397186279297,1506.138,183437.3,0
10.2,167.397201538086,1506.138,183437.4,0
10.2,167.397232055664,1506.138,183437.5,0.364
10.5,178.804275512695,1506.352,226447.5,0
10.5,178.804306030273,1506.352,226447.3,0
10.5,178.804321289063,1506.352,226447.5,0
10.5,178.804336547852,1506.352,226447.6,0.644
10.5,178.804351806641,1506.352,226447.8,0
10.5,178.80436706543,1506.352,226448.0,0.1872
10.5,178.804382324219,1506.352,226448.1,0
10.5,178.804412841797,1506.352,226448.3,0
10.5,178.804443359375,1506.352,226448.5,0
10.0,273.298126220703,1506.306,256579.5,0
10.0,273.298156738281,1506.306,256576.1,0
10.0,273.298156738281,1506.306,256576.1,0
10.0,273.298187255859,1506.306,256576.2,0
10.0,273.298187255859,1506.306,256576.3,0
10.0,273.298217773438,1506.306,256576.4,0
10.0,273.298248291016,1506.306,256576.5,0
10.0,273.298248291016,1506.306,256576.6,0.7132
10.0,273.298278808594,1506.306,256576.7,0
9.5,162.7568359375,1506.292,286698.0,0
9.5,162.756851196289,1506.292,286694.5,0
9.5,162.756866455078,1506.292,286694.7,0.7157
9.5,162.756896972656,1506.292,286694.8,0
9.5,162.756912231445,1506.292,286694.8,0
9.5,162.756927490234,1506.292,286695.0,0
9.5,162.756942749023,1506.292,286695.1,0
9.5,162.756958007813,1506.292,286695.4,0
9.5,162.756988525391,1506.292,286695.7,0
13.0,196.683334350586,1506.105,316915.8,0
13.0,196.683349609375,1506.105,316912.8,0
13.0,196.683380126953,1506.105,316913.0,0
13.0,196.683395385742,1506.105,316913.2,0
13.0,196.683410644531,1506.105,316913.3,0
13.0,196.68342590332,1506.105,316913.4,0.382
13.0,196.683441162109,1506.105,316913.6,0
13.0,196.683471679688,1506.105,316913.7,0
13.0,196.683502197266,1506.105,316913.8,0.8236
10.4,640.8740234375,1506.213,346961.6,0
10.4,640.874084472656,1506.213,346958.4,0
10.4,640.874084472656,1506.213,346958.4,0.2384
10.4,640.874084472656,1506.213,346958.5,0
10.4,640.874084472656,1506.213,346958.7,0
10.4,640.874145507813,1506.213,346958.8,0
10.4,640.874145507813,1506.213,346959.0,0
10.4,640.874145507813,1506.213,346959.1,0.4806
10.4,640.874206542969,1506.213,346959.2,0
