Physics Time (ms),Main Thread Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
13.6,190.756256103516,1542.589,30021.1,0
13.6,190.756271362305,1542.589,30032.7,0
13.6,190.756286621094,1542.589,30032.9,0.5246
13.6,190.756301879883,1542.589,30033.3,0
13.6,190.756317138672,1542.589,30033.4,0
13.6,190.75634765625,1542.589,30033.8,0
13.6,190.756362915039,1542.589,30034.1,0
13.6,190.756378173828,1542.589,30034.2,0
13.6,190.756408691406,1542.589,30034.3,0
15.7,217.9443359375,1562.101,71528.4,0
15.7,217.944351196289,1562.101,71534.6,0
15.7,217.944381713867,1562.101,71535.0,0
15.7,217.944396972656,1562.101,71535.7,0
15.7,217.944412231445,1562.101,71536.2,0
15.7,217.944427490234,1562.101,71537.1,0
15.7,217.944458007813,1562.101,71537.5,0
15.7,217.944473266602,1562.101,71537.9,0.4142
15.7,217.94450378418,1562.101,71540.3,0.3448
10.5,250.025680541992,1563.404,101617.7,0
10.5,250.025695800781,1563.404,101616.3,0.5012
10.5,250.025848388672,1563.404,101616.8,0
10.5,250.025863647461,1563.404,101616.9,0
10.5,250.025894165039,1563.404,101617.0,0.9
10.5,250.025909423828,1563.404,101617.5,0.5042
10.5,250.025924682617,1563.404,101618.3,0
10.5,250.025939941406,1563.404,101618.6,0.8506
10.5,250.025970458984,1563.404,101620.5,0.2536
10.0,217.994750976563,1549.862,131740.1,0
10.0,217.994766235352,1549.862,131737.2,0.6838
10.0,217.99479675293,1549.862,131739.2,0
10.0,217.994812011719,1549.862,131739.5,0
10.0,217.994827270508,1549.862,131740.0,0
10.0,217.994842529297,1549.862,131740.4,0
10.0,217.994857788086,1549.862,131740.5,0
10.0,217.994888305664,1549.862,131740.9,0
10.0,217.994918823242,1549.862,131741.1,0
10.1,248.895004272461,1549.678,161759.0,0
10.1,248.895034790039,1549.678,161759.1,0.6888
10.1,248.895050048828,1549.678,161759.2,0.2856
10.1,248.895065307617,1549.678,161759.5,0
10.1,248.895080566406,1549.678,161759.8,0
10.1,248.895095825195,1549.678,161760.0,0
10.1,248.895111083984,1549.678,161760.5,0.3342
10.1,248.895141601563,1549.678,161761.1,0.0294
10.1,248.895172119141,1549.678,161761.3,0
10.5,165.003829956055,1551.04,197460.8,0
10.5,165.003845214844,1551.04,197458.6,0
10.5,165.003860473633,1551.04,197458.8,0.947
10.5,165.003890991211,1551.04,197459.1,0
10.5,165.00390625,1551.04,197459.6,0
10.5,165.003921508789,1551.04,197460.1,0
10.5,165.003936767578,1551.04,197460.2,0
10.5,165.003952026367,1551.04,197460.6,0.8795
10.5,165.003997802734,1551.04,197461.1,0
10.3,208.606872558594,1551.689,231896.2,0.416
10.3,208.606887817383,1551.689,231893.8,0
10.3,208.606903076172,1551.689,231894.0,0
10.3,208.606918334961,1551.689,231894.1,0
10.3,208.606948852539,1551.689,231894.3,0
10.3,208.606948852539,1551.689,231894.5,0
10.3,208.606979370117,1551.689,231894.6,0
10.3,208.606994628906,1551.689,231894.7,0
10.3,208.607025146484,1551.689,231894.9,0
10.6,205.997360229492,1551.778,261899.9,0
10.6,205.997375488281,1551.778,261896.9,0
10.6,205.997406005859,1551.778,261897.0,0
10.6,205.997421264648,1551.778,261897.2,0
10.7,205.997436523438,1551.778,261898.0,0
10.7,205.997451782227,1551.778,261898.1,0
10.7,205.997467041016,1551.778,261898.2,0.7938
10.7,205.997497558594,1551.778,261898.6,0.578
10.7,205.997528076172,1551.778,261898.7,0
10.1,225.651382446289,1551.639,291913.7,0
10.1,225.651412963867,1551.639,291909.8,0
10.1,225.651428222656,1551.639,291909.9,0.1326
10.1,225.651443481445,1551.639,291910.0,0.0716
10.1,225.651458740234,1551.639,291910.5,0
10.1,225.651473999023,1551.639,291910.8,0
10.1,225.651489257813,1551.639,291911.2,0.5434
10.1,225.651519775391,1551.639,291911.5,0
10.1,225.651550292969,1551.639,291911.7,0.3394
11.2,266.222137451172,1551.69,322119.9,0.0606
11.2,266.22216796875,1551.69,322116.1,0.214
11.2,266.22216796875,1551.69,322116.3,0.4696
11.2,266.222198486328,1551.69,322116.4,0
11.2,266.222229003906,1551.69,322117.0,0
11.2,266.222229003906,1551.69,322117.3,0
11.2,266.222259521484,1551.69,322117.6,0.957
11.2,266.222259521484,1551.69,322117.8,0
11.2,266.222290039063,1551.69,322118.3,0
11.8,192.974609375,1551.329,357485.2,0
11.8,192.974624633789,1551.329,357483.3,0.586
11.8,192.974639892578,1551.329,357483.6,0
11.8,192.974670410156,1551.329,357483.8,0
11.8,192.974685668945,1551.329,357483.9,0
11.8,192.974700927734,1551.329,357484.5,0
11.8,192.974716186523,1551.329,357485.3,0
11.8,192.974731445313,1551.329,357485.8,0
11.8,192.97477722168,1551.329,357486.2,0
14.4,318.342346191406,1551.429,387546.1,0
14.4,318.342376708984,1551.429,387542.6,0.378
14.4,318.342376708984,1551.429,387542.8,0
14.4,318.342407226563,1551.429,387542.9,0
14.4,318.342407226563,1551.429,387543.3,0
14.4,318.342437744141,1551.429,387543.9,0
14.4,318.342468261719,1551.429,387544.0,0
14.4,318.342468261719,1551.429,387544.5,0
14.4,318.342498779297,1551.429,387545.0,0
12.4,188.21240234375,1546.512,417705.9,0.887
12.4,188.212417602539,1546.512,417708.5,0
12.4,188.212432861328,1546.512,417709.0,0
12.4,188.212463378906,1546.512,417709.2,0
12.4,188.212478637695,1546.512,417709.7,0.5332
12.4,188.212493896484,1546.512,417710.3,0
12.4,188.212509155273,1546.512,417710.9,0
12.4,188.212524414063,1546.512,417711.4,0.4658
12.4,188.212554931641,1546.512,417711.9,0
15.1,266.621459960938,1546.062,447835.9,0
15.1,266.621490478516,1546.062,447831.9,0
15.1,266.621520996094,1546.062,447832.2,0
15.2,266.621520996094,1546.062,447832.5,0
15.2,266.621551513672,1546.062,447832.7,0
15.2,266.621551513672,1546.062,447833.0,0.7325
15.2,266.62158203125,1546.062,447833.1,0
15.2,266.621612548828,1546.062,447833.6,0
15.2,266.621643066406,1546.062,447833.9,0
13.7,239.557250976563,1545.992,478003.8,0
