Physics Time (ms),Script Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
0.0,0,1800.282,10000.5,0.7805169
0.0,0,1800.282,10004.3,0
0.0,0,1800.282,10004.6,0
0.0,0,1800.282,10004.8,0.1951551
0.0,0,1800.282,10005.1,0.7222038
0.0,0,1800.282,10005.3,0.7920119
0.0,0,1800.282,10005.6,0
0.0,0,1800.282,10005.8,0
0.0,0,1800.282,10006.3,0.02645159
8.9,0,1746.754,10008.8,0
8.9,0,1746.754,10006.1,0.1319579
8.9,0,1746.754,10006.2,0
8.9,0,1746.754,10006.2,0
8.9,0,1746.754,10006.2,0
8.9,0,1746.754,10006.3,0
8.9,0,1746.754,10006.3,0
8.9,0,1746.754,10006.3,0
8.9,0,1746.754,10006.3,0
9.1,0,1806.818,20094.8,0
9.1,0,1806.818,20090.0,0.9402
9.1,0,1806.818,20090.2,0
9.1,0,1806.818,20090.2,0
9.1,0,1806.818,20090.3,0.6745576
9.1,0,1806.818,20090.3,0
9.1,0,1806.818,20090.3,0
9.1,0,1806.818,20090.4,0.5328
9.1,0,1806.818,20090.4,0
8.9,0,1807.855,30099.3,0
8.9,0,1807.855,30094.0,0.9402
8.9,0,1807.855,30094.1,0.1578097
8.9,0,1807.855,30094.3,0
8.9,0,1807.855,30094.4,0.7676
8.9,0,1807.855,30094.4,0
8.9,0,1807.855,30094.4,0
8.9,0,1807.855,30094.5,0.7326
8.9,0,1807.855,30094.6,0
11.5,0,1809.741,40232.9,0
11.5,0,1809.741,40227.8,0.9402
11.5,0,1809.741,40227.9,0.4254
11.5,0,1809.741,40227.9,0
11.5,0,1809.741,40228.5,0.9239111
11.5,0,1809.741,40228.6,0
11.5,0,1809.741,40228.8,0
11.5,0,1809.741,40228.9,0.8173407
11.5,0,1809.741,40229.0,0
12.3,0,1809.155,50357.5,0.003537931
12.3,0,1809.155,50352.8,0.9402
12.3,0,1809.155,50352.9,0.4254
12.3,0,1809.155,50352.9,0
12.3,0,1809.155,50353.0,2.1744
12.3,0,1809.155,50353.0,0
12.3,0,1809.155,50353.1,0
12.3,0,1809.155,50353.3,1.1902
12.3,0,1809.155,50353.3,0
11.3,0,1809.229,60419.4,0.0114
11.3,0,1809.229,60414.4,0.9402
11.3,0,1809.229,60414.4,0.4254
11.3,0,1809.229,60414.4,0.08861312
11.3,0,1809.229,60414.4,2.1744
11.3,0,1809.229,60414.4,0
11.3,0,1809.229,60414.4,0
11.3,0,1809.229,60414.5,1.1902
11.3,0,1809.229,60414.5,0
9.4,0,1809.254,70454.5,0.575146
9.4,0,1809.254,70449.4,0.9402
9.4,0,1809.254,70449.5,0.4254
9.4,0,1809.254,70449.8,0.2002
9.4,0,1809.254,70449.8,2.1744
9.4,0,1809.254,70449.9,0.7015969
9.4,0,1809.254,70449.9,0
9.4,0,1809.254,70450.1,1.1902
9.4,0,1809.254,70450.4,0
9.1,0,1809.308,80550.3,0.6944
9.1,0,1809.308,80546.5,1.514452
9.1,0,1809.308,80546.6,0.4254
9.1,0,1809.308,80546.6,0.2002
9.1,0,1809.308,80546.7,2.1744
9.1,0,1809.308,80546.7,0.7246
9.1,0,1809.308,80546.7,0
9.1,0,1809.308,80546.8,1.1902
9.1,0,1809.308,80546.8,0
9.4,0,1810.133,90588.3,0.6944
9.4,0,1810.133,90584.0,1.8506
9.4,0,1810.133,90584.1,0.9792399
9.4,0,1810.133,90584.1,0.2002
9.4,0,1810.133,90584.2,2.3785
9.4,0,1810.133,90584.2,0.7246
9.4,0,1810.133,90584.2,0.7231733
9.4,0,1810.133,90584.2,1.1902
9.4,0,1810.133,90584.3,0
9.4,0,1809.554,100702.3,0.6944
9.4,0,1809.554,100697.2,1.8506
9.4,0,1809.554,100697.3,1.2166
9.4,0,1809.554,100697.4,0.2002
9.4,0,1809.554,100697.5,3.826163
9.4,0,1809.554,100697.5,0.7246
9.4,0,1809.554,100697.5,0.9232
9.4,0,1809.554,100697.6,1.1902
9.4,0,1809.554,100697.8,0
8.6,0,1809.75,121061.1,0.6944
8.6,0,1809.75,121058.0,1.8506
8.6,0,1809.75,121058.4,1.2166
8.6,0,1809.75,121058.7,0.2002
8.6,0,1809.75,121058.8,4.021
8.6,0,1809.75,121058.9,0.7246
8.6,0,1809.75,121059.0,0.9232
8.6,0,1809.75,121059.2,1.1902
